Name	Set	Imagefile	Affiliation	Type	Cost	ConvertedCost	Offense	Defense	Mind	Body	Skills	Text
Self Destruct	Premiere	avp.image.premiere.item.predator.self.destruct	Predator	Item								
Throwing Disk	Premiere	avp.image.premiere.item.predator.throwing.disk	Predator	Item								
Alien Queen	Premiere	avp.image.premiere.main.alien.alien.queen	Alien	Main Character								
Alien Warrior	Premiere	avp.image.premiere.main.alien.alien.warrior	Alien	Main Character								
Chest Burster	Premiere	avp.image.premiere.main.alien.chest.burster	Alien	Main Character								
Pet Hybrid	Premiere	avp.image.premiere.main.alien.pet.hybrid	Alien	Main Character								
Predator Hybrid	Premiere	avp.image.premiere.main.alien.predator.hybrid	Alien	Main Character								
Royal Guard	Premiere	avp.image.premiere.main.alien.royal.guard	Alien	Main Character								
Warrior Queen	Premiere	avp.image.premiere.main.alien.warrior.queen	Alien	Main Character								
Young Queen	Premiere	avp.image.premiere.main.alien.young.queen	Alien	Main Character								
Ash	Premiere	avp.image.premiere.main.human.ash	Human	Main Character								
Carter Burke	Premiere	avp.image.premiere.main.human.carter.burke	Human	Main Character								
Dallas	Premiere	avp.image.premiere.main.human.dallas	Human	Main Character								
Kane	Premiere	avp.image.premiere.main.human.kane	Human	Main Character								
Lambert	Premiere	avp.image.premiere.main.human.lambert	Human	Main Character								
Parker	Premiere	avp.image.premiere.main.human.parker	Human	Main Character								
Ripley	Premiere	avp.image.premiere.main.human.ripley	Human	Main Character								
Bishop	Premiere	avp.image.premiere.main.human.bishop	Marine	Main Character								
Cpl Ackels	Premiere	avp.image.premiere.main.human.cpl.ackels	Marine	Main Character								
Cpl Brown	Premiere	avp.image.premiere.main.human.cpl.brown	Marine	Main Character								
Cpl Hicks	Premiere	avp.image.premiere.main.human.cpl.hicks	Marine	Main Character								
Cpl Myler	Premiere	avp.image.premiere.main.human.cpl.myler	Marine	Main Character								
Lt Campbell	Premiere	avp.image.premiere.main.human.lt.campbell	Marine	Main Character								
Marine Private	Premiere	avp.image.premiere.main.human.marine.private	Marine	Main Character								
Pvt Hewitt	Premiere	avp.image.premiere.main.human.pvt.hewitt	Marine	Main Character								
Pvt Hudson	Premiere	avp.image.premiere.main.human.pvt.hudson	Marine	Main Character								
Pvt Masters	Premiere	avp.image.premiere.main.human.pvt.masters	Marine	Main Character								
Pvt McIntyre	Premiere	avp.image.premiere.main.human.pvt.mcintyre	Marine	Main Character								
Pvt Rogers	Premiere	avp.image.premiere.main.human.pvt.rogers	Marine	Main Character								
Pvt Von Gries	Premiere	avp.image.premiere.main.human.pvt.von.gries	Marine	Main Character								
Sgt Bass	Premiere	avp.image.premiere.main.human.sgt.bass	Marine	Main Character								
Sgt Hart	Premiere	avp.image.premiere.main.human.sgt.hart	Marine	Main Character								
WO Kraver	Premiere	avp.image.premiere.main.human.wo.kraver	Marine	Main Character								
Cunning Hunter	Premiere	avp.image.premiere.main.predator.cunning.hunter	Predator	Main Character								
Eager Youth	Premiere	avp.image.premiere.main.predator.eager.youth	Predator	Main Character								
Fast Claw	Premiere	avp.image.premiere.main.predator.fast.claw	Predator	Main Character								
Gray Stripe	Premiere	avp.image.premiere.main.predator.gray.stripe	Predator	Main Character								
Honored Elder	Premiere	avp.image.premiere.main.predator.honored.elder	Predator	Main Character								
Huntmaster	Premiere	avp.image.premiere.main.predator.huntmaster	Predator	Main Character								
Outcast	Premiere	avp.image.premiere.main.predator.outcast	Predator	Main Character								
Sharp Eye	Premiere	avp.image.premiere.main.predator.sharp.eye	Predator	Main Character								
Young Tusk	Premiere	avp.image.premiere.main.predator.young.tusk	Predator	Main Character								
Child	Premiere	avp.image.premiere.supporting.child	Human	Supporting Character								
Black Marketeer	Premiere	avp.image.premiere.supporting.black.marketeer	Human	Supporting Character								
Cocooned Victim	Premiere	avp.image.premiere.supporting.cocooned.victim	Human	Supporting Character								
Company Official	Premiere	avp.image.premiere.supporting.company.official	Human	Supporting Character								
Corporate Agent	Premiere	avp.image.premiere.supporting.corporate.agent	Human	Supporting Character								
Dockworker	Premiere	avp.image.premiere.supporting.dockworker	Human	Supporting Character								
Electronics Tech	Premiere	avp.image.premiere.supporting.electronics.tech	Human	Supporting Character								
Engineer	Premiere	avp.image.premiere.supporting.engineer	Human	Supporting Character								
Hacker	Premiere	avp.image.premiere.supporting.hacker	Human	Supporting Character								
Lab Worker	Premiere	avp.image.premiere.supporting.lab.worker	Human	Supporting Character								
Mechanic	Premiere	avp.image.premiere.supporting.mechanic	Human	Supporting Character								
Pet	Premiere	avp.image.premiere.supporting.pet	Pet	Supporting Character								
Physician	Premiere	avp.image.premiere.supporting.physician	Human	Supporting Character								
Programmer	Premiere	avp.image.premiere.supporting.programmer	Human	Supporting Character								
Quartermaster	Premiere	avp.image.premiere.supporting.quartermaster	Human	Supporting Character								
Security Chief	Premiere	avp.image.premiere.supporting.security.chief	Human	Supporting Character								
Security Guard	Premiere	avp.image.premiere.supporting.security.guard	Human	Supporting Character								
Sleeper	Premiere	avp.image.premiere.supporting.sleeper	Human	Supporting Character								
Staff Worker	Premiere	avp.image.premiere.supporting.staff.worker	Human	Supporting Character								
Access Space	Premiere	avp.image.premiere.location.access.space	Indoor	Location								
Airlock	Premiere	avp.image.premiere.location.airlock	Entry	Location								
Ambush Point	Premiere	avp.image.premiere.location.ambush.point	Indoor	Location								
Armory	Premiere	avp.image.premiere.location.armory	Indoor	Location								
Atmosphere Processor	Premiere	avp.image.premiere.location.atmosphere.processor	Indoor	Location								
Barracks	Premiere	avp.image.premiere.location.barracks	Indoor	Location								
Breeding Chamber	Premiere	avp.image.premiere.location.breeding.chamber	Indoor	Location								
Cargo Bay	Premiere	avp.image.premiere.location.cargo.bay	Indoor	Location								
Communications Center	Premiere	avp.image.premiere.location.communications.center	Indoor	Location								
Computer Center	Premiere	avp.image.premiere.location.computer.center	Indoor	Location								
Conestoga Class	Premiere	avp.image.premiere.location.conestoga.class	Ship	Location								
Corporate Office	Premiere	avp.image.premiere.location.corporate.office	Indoor	Location								
Corridor	Premiere	avp.image.premiere.location.corridor	Indoor	Location								
Docking Bay	Premiere	avp.image.premiere.location.docking.bay	Entry	Location								
Elevator	Premiere	avp.image.premiere.location.elevator	Indoor	Location								
Cryonics Chamber	Premiere	avp.image.premiere.location.cryonics.chamber	Indoor	Location								
Engineering	Premiere	avp.image.premiere.location.engineering	Indoor	Location								
Equipment Warehouse	Premiere	avp.image.premiere.location.equipment.warehouse	Indoor	Location								
Hardpoint	Premiere	avp.image.premiere.location.hardpoint	Indoor	Location								
Heat Exchanger	Premiere	avp.image.premiere.location.heat.exchanger	Indoor	Location								
Hived Airlock	Premiere	avp.image.premiere.location.hived.airlock	Entry	Location								
Hived Corridor	Premiere	avp.image.premiere.location.hived.corridor	Indoor	Location								
Hived Cryonics	Premiere	avp.image.premiere.location.hived.cryonics	Indoor	Location								
Hived Engineering	Premiere	avp.image.premiere.location.hived.engineering	Indoor	Location								
Hived Hall	Premiere	avp.image.premiere.location.hived.hall	Indoor	Location								
Hived Lounge	Premiere	avp.image.premiere.location.hived.lounge	Indoor	Location								
Hived Main Corridor	Premiere	avp.image.premiere.location.hived.main.corridor	Indoor	Location								
Hived Passage	Premiere	avp.image.premiere.location.hived.passage	Indoor	Location								
Hived Plant	Premiere	avp.image.premiere.location.hived.plant	Indoor	Location								
Hived Processor	Premiere	avp.image.premiere.location.hived.processor	Indoor	Location								
Hived Quarters	Premiere	avp.image.premiere.location.hived.quarters	Indoor	Location								
Hived Shop	Premiere	avp.image.premiere.location.hived.shop	Indoor	Location								
Hived Storage	Premiere	avp.image.premiere.location.hived.storage	Indoor	Location								
Infirmary	Premiere	avp.image.premiere.location.infirmary	Indoor	Location								
Isolated Corridor	Premiere	avp.image.premiere.location.isolated.corridor	Indoor	Location								
Kitchen	Premiere	avp.image.premiere.location.kitchen	Indoor	Location								
Landing Pad	Premiere	avp.image.premiere.location.landing.pad	Entry	Location								
Living Quarters	Premiere	avp.image.premiere.location.living.quarters	Indoor	Location								
Machine Shop	Premiere	avp.image.premiere.location.machine.shop	Indoor	Location								
Main Corridor	Premiere	avp.image.premiere.location.main.corridor	Indoor	Location								
Meeting Hall	Premiere	avp.image.premiere.location.meeting.hall	Indoor	Location								
Mess Hall	Premiere	avp.image.premiere.location.mess.hall	Indoor	Location								
Operations	Premiere	avp.image.premiere.location.operations	Indoor	Location								
Power Plant	Premiere	avp.image.premiere.location.power.plant	Indoor	Location								
Predator Mothership	Premiere	avp.image.premiere.location.predator.mothership	Ship	Location								
Predator Ship	Premiere	avp.image.premiere.location.predator.ship	Ship	Location								
Predator Shuttle	Premiere	avp.image.premiere.location.predator.shuttle	Ship	Location								
Quarantine	Premiere	avp.image.premiere.location.quarantine	Indoor	Location								
Science Lab	Premiere	avp.image.premiere.location.science.lab	Indoor	Location								
Security Checkpoint	Premiere	avp.image.premiere.location.security.checkpoint	Indoor	Location								
Security Station	Premiere	avp.image.premiere.location.security.station	Indoor	Location								
Stairwell	Premiere	avp.image.premiere.location.stairwell	Indoor	Location								
Tavern	Premiere	avp.image.premiere.location.tavern	Indoor	Location								
Water Processing	Premiere	avp.image.premiere.location.water.processing	Indoor	Location								
Weapons Locker	Premiere	avp.image.premiere.location.weapons.locker	Indoor	Location								
Alien Hiving Drone	Cityscape	Faishful_Sueed	Alien	Main Character								
Advanced Predator Medikit	Cityscape	CTS_Advanced_Predator_Medikit	Predator	Item								
Energy Flechette	Cityscape	CTS_Energy_Flechette	Predator	Item								
Hunter's Collapsible Spear	Cityscape	CTS_Hunters_Collapsible_Spear	Predator	Item								
Hunter's Throwing Disk	Cityscape	CTS_Hunters_Throwing_Disk	Predator	Item								
Hunting Armor	Cityscape	CTS_Hunting_Armor	Predator	Item								
Pronged Spears	Cityscape	CTS_Pronged_Spears	Predator	Item								
Spear Gun	Cityscape	CTS_Spear_Gun	Predator	Item								
Agent Peter Keyes	Cityscape	CTS_Agent_Peter_Keyes	Marine	Main Character								
Garber	Cityscape	CTS_Garber	Marine	Main Character								
Apartment Bathroom	Cityscape	CTS_Apartment_Bathroom	Indoor	Location								
Colombian Hideout	Cityscape	CTS_Colombian_Hideout	Indoor	Location								
Metro Command	Cityscape	CTS_Metro_Command	Indoor	Location								
Slaughter House	Cityscape	CTS_Slaughter_House	Indoor	Location								
Trophy Room	Cityscape	CTS_Trophy_Room	Ship Interior	Location								
The War Zone	Cityscape	CTS_The_War_Zone	Outdoor	Location								
Parking Garage	Cityscape	CTS_Parking_Garage	Outdoor	Location								
OWLF Command Trailers	Cityscape	CTS_OWLF_Command_Trailers	Outdoor	Location								
Burns Station	Cityscape	CTS_Burns_Station	Entry	Location								
City Streets	Cityscape	CTS_City_Streets	Outdoor	Location								
Back Alley	Cityscape	CTS_Back_Alley	Outdoor	Location								
Building Rooftop	Cityscape	CTS_Building_Rooftop	Outdoor	Location: Cross								
Fire Escape	Cityscape	CTS_Fire_Escape	Outdoor	Location: Cross								
Rooftop Perch	Cityscape	CTS_Rooftop_Perch	Outdoor	Location: Cross								
Subterranean Hangar	Cityscape	CTS_Subterranean_Hangar	Outdoor	Location: Cross								
Subway Tunnel	Cityscape	CTS_Subway_Tunnel	Outdoor	Location: Cross								
Novice Hunter	Cityscape	CTS_Novice_Hunter	Predator	Main Character								
Enraged Coward	Cityscape	CTS_Enraged_Coward	Predator	Main Character								
El Diablo	Cityscape	CTS_El_Diablo	Predator	Main Character								
City Hunter	Cityscape	CTS_City_Hunter	Predator	Main Character								
Greyback	Cityscape	CTS_Greyback	Predator	Main Character								
Dillon	Cityscape	CTS_Dillon	Rogue	Main Character								
Ramon Vega	Cityscape	CTS_Ramon_Vega	Rogue	Main Character								
El Scorpio	Cityscape	CTS_El_Scorpio	Rogue	Main Character								
King Willie	Cityscape	CTS_King_Willie	Rogue	Main Character								
Cpt Heinemann	Cityscape	CTS_Cpt_Heinemann	Police	Main Character								
Cpt Pilgrim	Cityscape	CTS_Cpt_Pilgrim	Police	Main Character								
Lt Det Mike Harrigan	Cityscape	CTS_Lt_Det_Mike_Harrigan	Police	Main Character								
Det Danny Archuleta	Cityscape	CTS_Det_Danny_Archuleta	Police	Main Character								
Det Leona Cantrell	Cityscape	CTS_Det_Leona_Cantrell	Police	Main Character								
Det Jerry Lambert	Cityscape	CTS_Det_Jerry_Lambert	Police	Main Character								
Insulated Suit	Cityscape	CTS_Insulated_Suit	Human	Item								
King Willie's Sword	Cityscape	CTS_King_Willies_Sword	Human	Item								
Liquid Nitrogen Gun	Cityscape	CTS_Liquid_Nitrogen_Gun	Human	Item								
Riot Shield	Cityscape	CTS_Riot_Shield	Human	Item								
Golden Gun	Cityscape	CTS_Golden_Gun	Human	Item								
Heavy Armor Plating	Cityscape	CTS_Heavy_Vehicle_Armor	Human	Vehicle Item								
Helicopter	Cityscape	CTS_Helicopter	Human	Vehicle								
Police Cruiser	Cityscape	CTS_Police_Cruiser	Human	Vehicle								
The Betty	Cityscape	CTS_The_Betty	Human	Vehicle								
Overturned Car	Cityscape	CTS_Overturned_Car		Barrier								
Colombian Drug Runner	Cityscape	CTS_Colombian_Drug_Runner	Human	Supporting Character								
Jamaican Voodoo Priest	Cityscape	CTS_Jamaican_Voodoo_Priest	Human	Supporting Character								
Tony Pope	Cityscape	CTS_Tony_Pope	Human	Supporting Character								
Police Detective	Cityscape	CTS_Police_Detective	Human	Supporting Character								
Heat Wave	Cityscape	CTS_Heat_Wave		Condition								
Gang Warfare	Cityscape	CTS_Gang_Warfare		Condition								
Thriving Hive	Cityscape	CTS_Thriving_Hive		Condition								
Amongst The Buildings	Cityscape	CTS_Amongst_The_Buildings		Event								
Burnt Through	Cityscape	CTS_Burnt_Through		Event								
Casting Bones	Cityscape	CTS_Casting_Bones		Event								
Charging Stance	Cityscape	CTS_Charging_Stance		Event								
Concrete Jungle	Cityscape	CTS_Concrete_Jungle		Event								
Cooperation Is My Middle Name	Cityscape	CTS_Cooperation_Is_my_Middle_Name		Event								
Cover Up	Cityscape	CTS_Cover_Up		Event								
Creaky Stair	Cityscape	CTS_Creaky_Stair		Event								
Cycle Vision Modes	Cityscape	CTS_Cycle_Vision_Modes		Event								
Defensive Formation	Cityscape	CTS_Defensive_Formation		Event								
El Diablo Vino Por Ellos	Cityscape	CTS_El_Diablo_Vino_Por_Ellos		Event								
Genetic Experiment: Road Rage	Cityscape	CTS_GE_Road_Rage		Event								
Glancing Strike	Cityscape	CTS_Glancing_Strike		Event								
Hanging Corpses	Cityscape	CTS_Hanging_Corpses		Event								
Head Bite	Cityscape	CTS_Head_Bite		Event								
High Speed Collision	Cityscape	CTS_High_Speed_Collision		Event								
Honor In Death	Cityscape	CTS_Honor_In_Death		Event								
Impale	Cityscape	CTS_Impale		Event								
Pot Hole	Cityscape	CTS_Pot_Hole		Event								
Quickly And Quietly	Cityscape	CTS_Quickly_And_Quietly		Event								
Radioactive Dust	Cityscape	CTS_Radioactive_Dust		Event								
Reinforced Data Subsystems	Cityscape	CTS_Reinforced_Data_Subsystems		Event								
Rush Hour Rambo	Cityscape	CTS_Rush_Hour_Rambo		Event								
Severed Arm	Cityscape	CTS_Severed_Arm		Event								
Strangle Hold	Cityscape	CTS_Strangle_Hold		Event								
Stuck Tight	Cityscape	CTS_Stuck_Tight		Event								
Thick Skin	Cityscape	CTS_Thick_Skin		Event								
Uppercut	Cityscape	CTS_Uppercut		Event								
Voodoo Ritual	Cityscape	CTS_Voodoo_Ritual		Event								
Want Some Candy?	Cityscape	CTS_Want_Some_Candy		Event								
Water Puddles	Cityscape	CTS_Water_Puddles		Event								
You've Got One Inside You	Cityscape	CTS_Youve_Got_One_Inside_You		Event								
37F Mining Flare	Cityscape	CTS_37F_Mining_Flare	Human	Item								
Fire Axe	Cityscape	CTS_Fire_Axe	Human	Item								
Kevlar Vest	Cityscape	CTS_Kevlar_Vest	Human	Item								
Hunting Rifle	Cityscape	CTS_Hunting_Rifle	Human	Item								
M4 Carbine	Cityscape	CTS_M4_Carbine	Human	Item								
Quinitricetyline	Cityscape	CTS_Quinitricetyline	Human	Item								
Side Mounted Laser Cannon	Cityscape	CTS_Side_Mounted_laser_Cannon	Human	Vehicle Item								
Stryker	Cityscape	CTS_Stryker	Human	Vehicle								
Sniping Shot	Cityscape	CTS_Sniping_Shot		Event								
Shotgun Blast	Cityscape	CTS_Shotgun_Blast		Event								
Rumor Control	Cityscape	CTS_Rumor_Control		Event								
Request Permission to Terminate	Cityscape	CTS_Request_Permission_To_Terminate		Event								
Pheromone Signatures	Cityscape	CTS_Pheromone_Signatures		Event								
Permission Denied	Cityscape	CTS_Permission_Denied		Event								
New Breed	Cityscape	CTS_New_Breed		Event								
Medivac Team	Cityscape	CTS_Medivac_Team		Event								
Identity Barcode	Cityscape	CTS_Identity_Barcode		Event								
Genetic Experiment: Quick Reflexes	Cityscape	CTS_GE_Quick_Reflexes		Event								
Eye Flash	Cityscape	CTS_Eye_Flash		Event								
Eviscerate	Cityscape	CTS_Eviscerate		Event								
Deputize	Cityscape	CTS_Deputize		Event								
Decoy	Cityscape	CTS_Decoy		Event								
Collateral Damage	Cityscape	CTS_Collateral_Damage		Event								
Aaron	Cityscape	CTS_Aaron	Human	Main Character								
A New Generation	Cityscape	CTS_A_New_Generation		Condition								
Bishop II	Cityscape	CTS_Bishop_II	Marine	Main Character								
Clemens	Cityscape	CTS_Clemens	Rogue	Main Character								
Collapsed Tunnel	Cityscape	CTS_Collapsed_Tunnel		Barrier								
Dallas Howard	Cityscape	CTS_Dallas_Howard	Human	Main Character								
Ellen Ripley	Cityscape	CTS_Ellen_Ripley	Rogue	Main Character								
Hunting Shuttle	Cityscape	CTS_Hunting_Shuttle	Predator	Vehicle								
Kelly O'Brien	Cityscape	CTS_Kelly_Obrien	Marine	Main Character								
Morse	Cityscape	CTS_Morse	Rogue	Main Character								
Pet Burster	Cityscape	CTS_Pet_Burster	Alien	Main Character								
Pred Burster	Cityscape	CTS_Pred_Burster	Alien	Main Character								
Predator Hybrid Queen	Cityscape	CTS_Predator_Hybrid_Queen	Alien	Main Character								
Reliable Arms	Cityscape	CTS_Reliable_Arms		Condition								
Ricky Howard	Cityscape	CTS_Ricky_HOward	Human	Main Character								
Sheriff Eddie Morales	Cityscape	CTS_Sheriff_Eddie_Morales	Police	Main Character								
Supt Andrews	Cityscape	CTS_Supt_Andrews	Human	Main Character								
The Dragon	Cityscape	CTS_The_Dragon	Alien	Main Character								
The Wolf	Cityscape	CTS_The_Wolf	Predator	Main Character								
Young Predator Hybrid Queen	Cityscape	CTS_Young_Predalien_Queen	Alien	Main Character								
Alien Warrior Skull	Cityscape	CTS_Alien_Warrior_Skull	Predator	Item								
Breaker Gauntlet	Cityscape	CTS_Breaker_Gauntlet	Predator	Item								
Hand Held Caster	Cityscape	CTS_Hand_Held_Caster	Predator	Item								
Laser Trap	Cityscape	CTS_Laser_Trap	Predator	Item								
Marine Skull	Cityscape	CTS_Marine_Skull	Predator	Item								
Nanofluid Vial	Cityscape	CTS_Nanofluid_Vial	Predator	Item								
Predator Bull Whip	Cityscape	CTS_Predator_Bull_Whip	Predator	Item								
Predator Shuriken	Cityscape	CTS_Predator_Shuriken	Predator	Item								
Warrior Trainee	Cityscape	CTS_Warrior_Trainee	Predator	Supporting Character								
Assembly Hall	Cityscape	CTS_Assembly_Hall	Indoor	Location								
Condemned Building	Cityscape	CTS_Condemned_Building	Outdoor	Location								
Crashed Ship	Cityscape	CTS_Crashed_Ship	Outdoor	Location								
EEV Crash Site	Cityscape	CTS_EEV_Crash_Site	Outdoor	Location								
Graveyard	Cityscape	CTS_Graveyard	Outdoor	Location								
Hived Infirmary	Cityscape	CTS_Hived_Infirmary	Indoor	Location								
Hived Sewer	Cityscape	CTS_Hived_Sewer	Outdoor	Location: Cross								
Honored Altar	Cityscape	CTS_Honored_Altar	Ship Interior	Location								
Junk Heap	Cityscape	CTS_Junk_Heaps	Outdoor	Location								
Lead Works	Cityscape	CTS_Lead_Works	Indoor	Location								
Maternity Ward	Cityscape	CTS_Maternity_Ward	Indoor	Location								
Predator Ship Corridor	Cityscape	CTS_Predator_Ship_Corridor	Ship Interior	Location								
Rooftop Landing Pad	Cityscape	CTS_Rooftop_Landing_Pad	Outdoor	Location: Cross								
Sewer System	Cityscape	CTS_Sewer_System	Outdoor	Location: Cross								
Sports Shop	Cityscape	CTS_Sports_Shop	Indoor	Location								
Suburban House	Cityscape	CTS_Suburban_House	Outdoor	Location								
The Center of Town	Cityscape	CTS_The_Center_Of_Town	Outdoor	Location								
The Piston	Cityscape	CTS_The_Piston	Indoor	Location								
The Mold	Cityscape	CTS_The_Mold	Indoor	Location								
Toxic Waste Disposal	Cityscape	CTS_Toxic_Waste_Disposal	Indoor	Location								
Trophy Preparation Area	Cityscape	CTS_Trophy_Preparation_Area	Ship Interior	Location								
Ventilation Shaft	Cityscape	CTS_Ventilation_Shaft	Indoor	Location: Cross								
Wooded Lot	Cityscape	CTS_Wooded_Lot	Outdoor	Location								
Oxen	Cityscape	CTS_Oxen	Pet	Supporting Character								
National Guardsman	Cityscape	CTS_National_Guardsman	Human	Supporting Character								
Molly O'Brien	Cityscape	CTS_Molly_Obrien	Human	Supporting Character								
Junior	Cityscape	CTS_Junior	Human	Supporting Character								
Golic	Cityscape	CTS_Golic	Human	Supporting Character								
Expecting Mother	Cityscape	CTS_Expecting_Mother	Human	Supporting Character								
Alien Sentry	Atmosphere	Axe_of_Delusion	Alien	Main Character								
Acidic Residue	Atmosphere	ATM_ACIDIC_RESIDUE		Event								
Advanced Hive	Atmosphere	ATM_ADVANCED_HIVE		Condition								
Adaptive Leadership	Atmosphere	ATM_ADAPTIVE_LEADERSHIP		Event								
Aint Got Time To Bleed	Atmosphere	ATM_AINT_GOT_TIME_TO_BLEED		Event								
Airfield 112	Atmosphere	ATM_AIRFIELD_112	Outdoor	Location								
Anna	Atmosphere	ATM_ANNA	Human	Supporting Character								
Automated Return System	Atmosphere	ATM_AUTOMATED_RETURN_SYSTEM	Predator	Item								
Betrayal	Atmosphere	ATM_BETRAYAL		Event								
C-4	Atmosphere	ATM_C4	Human	Item								
Cpt Pancho	Atmosphere	ATM_CAPT_PANCHO	Marine	Main Character								
Clan Gladiator	Atmosphere	ATM_CLAN_GLADIATOR	Predator	Main Character								
Claymore Mine	Atmosphere	ATM_CLAYMORE_MINE	Human	Item								
Corruption Virus	Atmosphere	ATM_Corruption_Virus		Event								
Covered In Mud	Atmosphere	ATM_Covered_In_Mud		Event								
Cpl Hawkins	Atmosphere	ATM_CPL_HAWKINS	Marine	Main Character								
Crash Site	Atmosphere	ATM_CRASH_SITE	Outdoor	Location								
Custom Data Drive	Atmosphere	ATM_CUSTOM_DATA_DRIVE	Human	Item								
Dark Spirit	Atmosphere	ATM_DARK_SPIRIT	Predator	Main Character								
Dense Jungle	Atmosphere	ATM_DENSE_JUNGLE	Outdoor	Location								
Dishonorable Defeat	Atmosphere	ATM_DISHONORABLE_DEFEAT		Event								
Diversion	Atmosphere	ATM_DIVERSION		Event								
Ducheck	Atmosphere	ATM_DUCHECK	Rogue	Main Character								
Dug In Like An Alabama Tick	Atmosphere	ATM_DUG_IN_LIKE_AN_ALABAMA_TICK		Event								
Elevator Shaft	Atmosphere	ATM_ELEVATOR_SHAFT	Indoor	Location: Cross								
Elite Guard	Atmosphere	ATM_ELITE_GUARD	Alien	Main Character								
For His Own Good	Atmosphere	ATM_FOR_HIS_OWN_GOOD		Event								
Forced Entry	Atmosphere	ATM_FORCED_ENTRY		Event								
Gates	Atmosphere	ATM_Gates	Rogue	Main Character								
Genetic Experiment: Alien Awareness	Atmosphere	ATM_GE_ALIEN_AWARENESS		Event								
Genetic Experiment: Aquatic Adaptation	Atmosphere	ATM_GE_AQUATIC_ADAPTATION		Event								
Genetic Experiment: Augmented Intelligence	Atmosphere	ATM_GE_AUGMENTED_INTELLIGENCE		Event								
Guerilla Base Camp	Atmosphere	ATM_GUERRILLA_BASE_CAMP	Outdoor	Location								
Headlong Rush	Atmosphere	ATM_HEADLONG_RUSH		Event								
H.E.A.P. Rounds	Atmosphere	ATM_HEAP_ROUNDS	Human	Item								
Helping Hand	Atmosphere	ATM_HELPING_HAND		Event								
He's Busted Up Pretty Bad	Atmosphere	ATM_HES_BUSTED_UP_PRETTY_BAD		Event								
Hidden Egg	Atmosphere	ATM_HIDDEN_EGG		Event								
High Ground	Atmosphere	ATM_HIGH_GROUND		Event								
Hived Tunnels	Atmosphere	ATM_HIVED_TUNNELS	Outdoor	Location: Cross								
Honorable Experience	Atmosphere	ATM_HONORABLE_EXPERIENCE		Event								
Human Shield	Atmosphere	ATM_HUMAN_SHIELD		Event								
I Saw Something	Atmosphere	ATM_I_SAW_SOMETHING		Event								
I See You	Atmosphere	ATM_I_SEE_YOU		Event								
In Harms Way	Atmosphere	ATM_IN_HARMS_WAY		Event								
Inherent Stealth	Atmosphere	ATM_INHERENT_STEALTH		Event								
Instinctive Swarm	Atmosphere	ATM_INSTINCTIVE_SWARM		Event								
Integrated Repair Module	Atmosphere	ATM_INTEGRATED_REPAIR_MODULE	Predator	Item								
Interrogation	Atmosphere	ATM_INTERROGATION		Event								
Intravascular Stimulant	Atmosphere	ATM_INTRAVASCULAR_STIMULANT	Predator	Item								
Lock 'n Load	Atmosphere	ATM_LOCK_N_LOAD		Event								
Lone Shadow	Atmosphere	ATM_LONE_SHADOW	Predator	Main Character								
M27 Uzi	Atmosphere	ATM_M27_UZI	Human	Item								
M77 Minigun	Atmosphere	ATM_M77_MINIGUN	Human	Item								
M577 Armored Personnel Carrier	Atmosphere	ATM_M577_APC	Human	Vehicle								
M932 Turret Mounted Assault Cannon	Atmosphere	ATM_M932_TURRET_MOUNTED_ASSAULT_CANNON	Human	Vehicle Item								
Maintenance Shafts	Atmosphere	ATM_MAINTENANCE_SHAFTS	Indoor	Location: Cross								
Maintenance Bay	Atmosphere	ATM_MAINTENANCE_BAY	Entry	Location								
Major Dutch	Atmosphere	ATM_MAJOR_DUTCH	Marine	Main Character								
Makeshift Longbow	Atmosphere	ATM_MAKESHIFT_LONGBOW	Human	Item								
Marine Prisoners	Atmosphere	ATM_MARINE_PRISONERS	Human	Supporting Character								
Massive Blood Loss	Atmosphere	ATM_MASSIVE_BLOOD_LOSS		Event								
Medical Scanner	Atmosphere	ATM_MEDICAL_SCANNER	Human	Vehicle Item								
Mortal Wound	Atmosphere	ATM_MORTAL_WOUND		Event								
Motorcycle	Atmosphere	ATM_Motorcycle	Human	Vehicle								
Natural instinct	Atmosphere	ATM_NATURAL_INSTINCT		Event								
Net Trap	Atmosphere	ATM_NET_TRAP		Event								
Night Stalker	Atmosphere	ATM_NIGHT_STALKER	Predator	Main Character								
Nothing Could Have Lived At That Range	Atmosphere	ATM_NOTHING_COULD_HAVE_LIVED_AT_THAT_RANGE		Event								
Overdrive	Atmosphere	ATM_OVERDRIVE		Event								
Pack Cry	Atmosphere	ATM_PACK_CRY		Event								
Payback Time	Atmosphere	ATM_PAYBACK_TIME		Event								
Pit	Atmosphere	ATM_PIT		Event								
Plasma Shielding	Atmosphere	ATM_PLASMA_SHIELDING	Predator	Item								
Primitive Traps	Atmosphere	ATM_PRIMITIVE_TRAPS		Event								
Prisoner Transport	Atmosphere	ATM_PRISONER_TRANSPORT	Human	Vehicle								
Prophecy Stones	Atmosphere	ATM_PROPHECY_STONES		Event								
Put 'em On A Leash	Atmosphere	ATM_PUT_EM_ON_A_LEASH		Event								
Rafters	Atmosphere	ATM_RAFTERS	Indoor	Location: Cross								
Razor's Edge	Atmosphere	ATM_RAZORS_EDGE		Event								
RE700 20mm Gatling Cannon	Atmosphere	ATM_RE700_20MM_GATLING_CANNON	Human	Vehicle Item								
